epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,189.489,0.82038,0.59079,1.23633,0.94859,0.80247,0.88976,0.67612,0.90647,0.60717,1.40571,0.000990365,0.000990365,0.000990365
43,193.511,0.83438,0.56606,1.22104,0.94079,0.82716,0.9088,0.66357,0.98923,0.60965,1.44745,0.000973861,0.000973861,0.000973861
44,197.498,0.81862,0.58981,1.22947,0.93129,0.83669,0.87362,0.66937,0.93682,0.63121,1.42507,0.000957358,0.000957358,0.000957358
45,201.583,0.80143,0.54244,1.20705,0.94272,0.8128,0.86874,0.67373,0.89223,0.64213,1.37039,0.000940855,0.000940855,0.000940855
46,205.687,0.82014,0.57676,1.21115,0.93029,0.82381,0.90073,0.68456,0.88788,0.64022,1.355,0.000924352,0.000924352,0.000924352
47,209.721,0.80395,0.57635,1.21031,0.92958,0.8642,0.9019,0.70215,0.82344,0.53103,1.27922,0.000907848,0.000907848,0.000907848
48,213.793,0.76582,0.55061,1.1867,0.92454,0.79012,0.86949,0.66251,0.94308,0.67727,1.35555,0.000891345,0.000891345,0.000891345
49,217.831,0.799,0.5443,1.21807,0.87714,0.88148,0.88781,0.67117,0.93049,0.62707,1.38636,0.000874842,0.000874842,0.000874842
50,221.787,0.7694,0.54554,1.19145,0.89235,0.81877,0.8336,0.62782,0.9801,0.72511,1.45275,0.000858338,0.000858338,0.000858338
51,225.952,0.77809,0.54828,1.19799,0.89438,0.83639,0.87604,0.67723,0.85985,0.64679,1.33167,0.000841835,0.000841835,0.000841835
52,230.039,0.7428,0.53673,1.17447,0.94476,0.77778,0.85867,0.67516,0.85398,0.66653,1.31473,0.000825332,0.000825332,0.000825332
53,234.077,0.79034,0.54828,1.19041,0.95508,0.78744,0.8608,0.63624,0.96304,0.69309,1.38603,0.000808828,0.000808828,0.000808828
54,238.043,0.76159,0.52008,1.18556,0.92605,0.80247,0.87131,0.69675,0.89522,0.66029,1.36563,0.000792325,0.000792325,0.000792325
55,242.088,0.74924,0.51208,1.16166,0.93972,0.80247,0.86638,0.67727,0.84863,0.66564,1.32878,0.000775822,0.000775822,0.000775822
56,246.104,0.74673,0.49804,1.16631,0.92826,0.8642,0.90434,0.70115,0.88606,0.56642,1.36291,0.000759318,0.000759318,0.000759318
57,250.06,0.74071,0.4927,1.16366,0.93072,0.87654,0.91303,0.71821,0.83465,0.56032,1.31915,0.000742815,0.000742815,0.000742815
58,254.077,0.73384,0.50088,1.16914,0.95249,0.80247,0.88822,0.6965,0.84237,0.66394,1.29242,0.000726312,0.000726312,0.000726312
59,258.297,0.71997,0.50159,1.14445,0.93121,0.83568,0.88201,0.70105,0.87992,0.62493,1.3483,0.000709809,0.000709809,0.000709809
